Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
1	1,975700093840715E+003	1,000000000000000E+000	3,3925552E+000	2,9998846E+004	1,449910693413954E+004	0,000000000000000E+000	1,3832785E+001
1	2,005700095265638E+003	1,000000000000000E+000	3,3938549E+000	2,9997268E+004	1,474909342018338E+004	0,000000000000000E+000	1,4212247E+001
1	2,035700096690562E+003	1,000000000000000E+000	3,3952334E+000	2,9997070E+004	1,499908045788303E+004	0,000000000000000E+000	1,4014610E+001
1	2,065700098115485E+003	1,000000000000000E+000	3,3966513E+000	2,9999238E+004	1,524906738311741E+004	0,000000000000000E+000	1,4196436E+001
1	2,095700099540409E+003	1,000000000000000E+000	3,3978722E+000	2,9996676E+004	1,549905426690321E+004	0,000000000000000E+000	1,4275491E+001
1	2,125700100965332E+003	1,000000000000000E+000	3,3992114E+000	2,9997859E+004	1,574904068986871E+004	0,000000000000000E+000	1,4283396E+001
1	2,155700102390256E+003	1,000000000000000E+000	3,4004717E+000	3,0000814E+004	1,599902742520074E+004	0,000000000000000E+000	1,4156909E+001
1	2,185700103815179E+003	1,000000000000000E+000	3,4016926E+000	2,9998451E+004	1,624901453439128E+004	0,000000000000000E+000	1,4291301E+001
1	2,215700105240103E+003	1,000000000000000E+000	3,4029925E+000	2,9998844E+004	1,649900165584961E+004	0,000000000000000E+000	1,4141097E+001
1	2,245700106665026E+003	1,000000000000000E+000	3,4042134E+000	2,9998252E+004	1,674898859509332E+004	0,000000000000000E+000	1,4212247E+001
1	2,275700108089950E+003	1,000000000000000E+000	3,4056313E+000	2,9996676E+004	1,699897519025933E+004	0,000000000000000E+000	1,4275491E+001
1	2,305700109514873E+003	1,000000000000000E+000	3,4068916E+000	2,9998646E+004	1,724896186520725E+004	0,000000000000000E+000	1,4125287E+001
1	2,335700110939797E+003	1,000000000000000E+000	3,4081521E+000	2,9999041E+004	1,749894889432292E+004	0,000000000000000E+000	1,4054137E+001
1	2,365700112364721E+003	1,000000000000000E+000	3,4092941E+000	2,9998646E+004	1,774893548452257E+004	0,000000000000000E+000	1,4141097E+001
1	2,395700113789644E+003	1,000000000000000E+000	3,4105544E+000	2,9998451E+004	1,799892240713325E+004	0,000000000000000E+000	1,4315018E+001
1	2,425700115214568E+003	1,000000000000000E+000	3,4116573E+000	2,9999240E+004	1,824890890649414E+004	0,000000000000000E+000	1,4101570E+001
1	2,455700116639491E+003	1,000000000000000E+000	3,4129570E+000	2,9998057E+004	1,849889555765625E+004	0,000000000000000E+000	1,3959271E+001
1	2,485700118064415E+003	1,000000000000000E+000	3,4140992E+000	2,9998844E+004	1,874888216216363E+004	0,000000000000000E+000	1,4188531E+001
1	2,515700119489338E+003	1,000000000000000E+000	3,4153991E+000	3,0000420E+004	1,899886898754991E+004	0,000000000000000E+000	1,4267586E+001
1	2,545700120914262E+003	1,000000000000000E+000	3,4165411E+000	2,9997072E+004	1,924885532982965E+004	0,000000000000000E+000	1,4212247E+001
1	2,575700122339185E+003	1,000000000000000E+000	3,4176834E+000	2,9997662E+004	1,949884127299371E+004	0,000000000000000E+000	1,4243869E+001
1	2,605700123764109E+003	1,000000000000000E+000	3,4187074E+000	2,9999436E+004	1,974882712181315E+004	0,000000000000000E+000	1,3975081E+001
1	2,635700125189032E+003	1,000000000000000E+000	3,4198101E+000	2,9998254E+004	1,999881339499566E+004	0,000000000000000E+000	1,4093665E+001
1	2,665700126613956E+003	1,000000000000000E+000	3,4208343E+000	2,9998451E+004	2,024879943510634E+004	0,000000000000000E+000	1,3911839E+001
1	2,695700128038879E+003	1,000000000000000E+000	3,4220946E+000	2,9999041E+004	2,049878566559679E+004	0,000000000000000E+000	1,4346640E+001
1	2,725700129463803E+003	1,000000000000000E+000	3,4232366E+000	2,9998254E+004	2,074877172677301E+004	0,000000000000000E+000	1,4054137E+001
1	2,755700130888727E+003	1,000000000000000E+000	3,4239457E+000	2,9996283E+004	2,099875769226455E+004	0,000000000000000E+000	1,4220152E+001
1	2,785700132313650E+003	1,000000000000000E+000	3,4251273E+000	3,0000223E+004	2,124874430859484E+004	0,000000000000000E+000	1,3832785E+001
1	2,815700133738574E+003	1,000000000000000E+000	3,4258757E+000	2,9996676E+004	2,149873082342557E+004	0,000000000000000E+000	1,4243869E+001
1	2,845700135163497E+003	1,000000000000000E+000	3,4269390E+000	2,9998449E+004	2,174871724794814E+004	0,000000000000000E+000	1,4062042E+001
1	2,875700136588421E+003	1,000000000000000E+000	3,4278448E+000	2,9997859E+004	2,199870325531467E+004	0,000000000000000E+000	1,4062042E+001
1	2,905700138013344E+003	1,000000000000000E+000	3,4285145E+000	2,9996678E+004	2,224868911047961E+004	0,000000000000000E+000	1,4188531E+001
1	2,935700139438268E+003	1,000000000000000E+000	3,4294991E+000	2,9999041E+004	2,249867514251736E+004	0,000000000000000E+000	1,4069948E+001
1	2,965700140863191E+003	1,000000000000000E+000	3,4303656E+000	2,9999436E+004	2,274866084216472E+004	0,000000000000000E+000	1,4085759E+001
1	2,995700142288115E+003	1,000000000000000E+000	3,4310744E+000	2,9997467E+004	2,299864634749241E+004	0,000000000000000E+000	1,4180626E+001
1	3,025700143713038E+003	1,000000000000000E+000	3,4317441E+000	2,9998846E+004	2,324863107796876E+004	0,000000000000000E+000	1,4307113E+001
1	3,055700145137962E+003	1,000000000000000E+000	3,4323742E+000	2,9999238E+004	2,349861602348416E+004	0,000000000000000E+000	1,4054137E+001
1	3,085700146562885E+003	1,000000000000000E+000	3,4330437E+000	2,9997859E+004	2,374860107587566E+004	0,000000000000000E+000	1,4054137E+001
1	3,115700147987809E+003	1,000000000000000E+000	3,4337528E+000	2,9998254E+004	2,399858589827692E+004	0,000000000000000E+000	1,4085759E+001
1	3,145700149412733E+003	1,000000000000000E+000	3,4342647E+000	2,9996873E+004	2,424857113814996E+004	0,000000000000000E+000	1,4172719E+001
1	3,175700150837656E+003	1,000000000000000E+000	3,4348161E+000	2,9999041E+004	2,449855659347549E+004	0,000000000000000E+000	1,4196436E+001
1	3,205700152262580E+003	1,000000000000000E+000	3,4353282E+000	2,9998646E+004	2,474854206960396E+004	0,000000000000000E+000	1,4125287E+001
1	3,235700153687503E+003	1,000000000000000E+000	3,4358401E+000	2,9998254E+004	2,499852750907553E+004	0,000000000000000E+000	1,4378262E+001
1	3,265700155112427E+003	1,000000000000000E+000	3,4362340E+000	3,0000814E+004	2,524851285192926E+004	0,000000000000000E+000	1,4243869E+001
1	3,295700156537350E+003	1,000000000000000E+000	3,4367855E+000	2,9997070E+004	2,549849870501628E+004	0,000000000000000E+000	1,4149002E+001
1	3,325700157962274E+003	1,000000000000000E+000	3,4372580E+000	3,0000223E+004	2,574848448317275E+004	0,000000000000000E+000	1,4149002E+001
1	3,355700159387197E+003	1,000000000000000E+000	3,4377306E+000	2,9999238E+004	2,599846976210721E+004	0,000000000000000E+000	1,4220152E+001
1	3,385700160812121E+003	1,000000000000000E+000	3,4379275E+000	2,9999041E+004	2,624845533233182E+004	0,000000000000000E+000	1,4417789E+001
1	3,415700162237044E+003	1,000000000000000E+000	3,4382820E+000	2,9997070E+004	2,649844114091906E+004	0,000000000000000E+000	1,4188531E+001
1	3,445700163661968E+003	1,000000000000000E+000	3,4386365E+000	2,9999830E+004	2,674842672234810E+004	0,000000000000000E+000	1,4283396E+001
1	3,475700165086892E+003	1,000000000000000E+000	3,4388335E+000	2,9999238E+004	2,699841222633247E+004	0,000000000000000E+000	1,4188531E+001
1	3,505700166511815E+003	1,000000000000000E+000	3,4391880E+000	2,9998057E+004	2,724839814122831E+004	0,000000000000000E+000	1,4259679E+001
1	3,535700167936739E+003	1,000000000000000E+000	3,4394636E+000	3,0000420E+004	2,749838425366212E+004	0,000000000000000E+000	1,4133192E+001
1	3,565700169361662E+003	1,000000000000000E+000	3,4397392E+000	2,9998449E+004	2,774837019813586E+004	0,000000000000000E+000	1,4156909E+001
1	3,595700170786586E+003	1,000000000000000E+000	3,4400151E+000	2,9999238E+004	2,799835624482965E+004	0,000000000000000E+000	1,4401978E+001
1	3,625700172211509E+003	1,000000000000000E+000	3,4401727E+000	2,9997070E+004	2,824834223796984E+004	0,000000000000000E+000	1,4346640E+001
1	3,655700173636433E+003	1,000000000000000E+000	3,4405665E+000	2,9998646E+004	2,849832786294380E+004	0,000000000000000E+000	1,4235964E+001
1	3,685700175061356E+003	1,000000000000000E+000	3,4407635E+000	2,9999041E+004	2,874831310324436E+004	0,000000000000000E+000	1,4204341E+001
1	3,715700176486280E+003	1,000000000000000E+000	3,4408815E+000	2,9999633E+004	2,899829909583985E+004	0,000000000000000E+000	1,4220152E+001
1	3,745700177911203E+003	1,000000000000000E+000	3,4411571E+000	2,9998449E+004	2,924828470660374E+004	0,000000000000000E+000	1,4172719E+001
1	3,775700179336127E+003	1,000000000000000E+000	3,4412360E+000	2,9998254E+004	2,949827006290908E+004	0,000000000000000E+000	1,3951366E+001
1	3,805700180761050E+003	1,000000000000000E+000	3,4413936E+000	2,9998844E+004	2,974825527582575E+004	0,000000000000000E+000	1,4370356E+001
1	3,835700182185974E+003	1,000000000000000E+000	3,4417086E+000	2,9998846E+004	2,999824021735678E+004	0,000000000000000E+000	1,4022515E+001
1	3,865700183610898E+003	1,000000000000000E+000	3,4417086E+000	2,9999041E+004	3,024822559840821E+004	0,000000000000000E+000	1,4299208E+001
1	3,895700185035821E+003	1,000000000000000E+000	3,4419055E+000	2,9997465E+004	3,049821085279624E+004	0,000000000000000E+000	1,4275491E+001
1	3,925700186460745E+003	1,000000000000000E+000	3,4421024E+000	2,9998254E+004	3,074819626119468E+004	0,000000000000000E+000	1,4204341E+001
1	3,955700187885668E+003	1,000000000000000E+000	3,4422600E+000	2,9996283E+004	3,099818154065540E+004	0,000000000000000E+000	1,4394073E+001
1	3,985700189310592E+003	1,000000000000000E+000	3,4424176E+000	2,9999633E+004	3,124816703327692E+004	0,000000000000000E+000	1,4315018E+001
1	4,015700190735515E+003	1,000000000000000E+000	3,4425356E+000	2,9997859E+004	3,149815301595379E+004	0,000000000000000E+000	1,4164814E+001
1	4,045700192160439E+003	1,000000000000000E+000	3,4426539E+000	2,9998844E+004	3,174813844119901E+004	0,000000000000000E+000	1,4346640E+001
1	4,075700193585362E+003	1,000000000000000E+000	3,4429295E+000	2,9998646E+004	3,199812351434463E+004	0,000000000000000E+000	1,4354546E+001
1	4,105700195010286E+003	1,000000000000000E+000	3,4430084E+000	2,9998252E+004	3,224810913196290E+004	0,000000000000000E+000	1,4330830E+001
1	4,135700196435209E+003	1,000000000000000E+000	3,4431658E+000	2,9995889E+004	3,249809453040041E+004	0,000000000000000E+000	1,4117380E+001
1	4,165700197860133E+003	1,000000000000000E+000	3,4433627E+000	2,9997465E+004	3,274808025585722E+004	0,000000000000000E+000	1,4386168E+001
1	4,195700199285056E+003	1,000000000000000E+000	3,4434810E+000	2,9999828E+004	3,299806536328560E+004	0,000000000000000E+000	1,4370356E+001
1	4,225700200709980E+003	1,000000000000000E+000	3,4437172E+000	2,9999633E+004	3,324805045806208E+004	0,000000000000000E+000	1,4204341E+001
1	4,255700202134904E+003	1,000000000000000E+000	3,4438355E+000	2,9998842E+004	3,349803610653648E+004	0,000000000000000E+000	1,4307113E+001
1	4,285700203559827E+003	1,000000000000000E+000	3,4438748E+000	2,9996678E+004	3,374802137601239E+004	0,000000000000000E+000	1,4386168E+001
1	4,315700204984751E+003	1,000000000000000E+000	3,4439142E+000	2,9999238E+004	3,399800626991755E+004	0,000000000000000E+000	1,4243869E+001
1	4,345700206409674E+003	1,000000000000000E+000	3,4441504E+000	2,9998451E+004	3,424799137579212E+004	0,000000000000000E+000	1,4346640E+001
1	4,375700207834598E+003	1,000000000000000E+000	3,4443474E+000	2,9998648E+004	3,449797633293513E+004	0,000000000000000E+000	1,4196436E+001
1	4,405700209259521E+003	1,000000000000000E+000	3,4445443E+000	2,9998846E+004	3,474796180661134E+004	0,000000000000000E+000	1,4346640E+001
